Reported trait,id,PubMed ID,M_or,M_m,M_ldpred,k,h2_est,p_est
White matter integrity (mean diffusivity),GCST010103,32358547,9735314,1109836,1036432,26,0.15857482767095155,0.020047972023342124
Feeling worry,GCST006950,29500382,10846943,1075357,1003655,30,0.07356546617722112,0.016598114403461792
Worry,GCST006478,29942085,10847150,1075372,1003988,30,0.09144698434559967,0.018227936650163503
Worry too long after an embarrassing experience,GCST006946,29500382,10846943,1075357,1003655,30,0.06219574944424993,0.015346252572024367
Worry/vulnerability (special factor of neuroticism),GCST007708,30867560,18485882,1115610,724866,30,0.04632689654381392,0.012731335815986984
Extraversion,GCST003120,26362575,6941603,1079713,1009844,20,0.05145114340270031,0.0054876143192727125
Intelligence,GCST006250,29942086,9295118,1109972,1033998,30,0.2118773839808874,0.027986618889768666
Intelligence (childhood),GCST001837,23358156,1380158,760999,720130,27,0.22624882860350287,0.005165509370563085
General risk tolerance,GCST007322,30643258,11514381,1115155,1041767,30,0.025449230266102452,0.014330507564855065
Risk-taking tendency (4-domain principal component model),GCST007323,30643258,11514862,1115155,1039844,30,0.11257382035214637,0.01705465735176131
Smoking status (ever vs never smokers),GCST007327,30643258,11514654,1115159,1036617,30,0.09173809319398744,0.0201442487585788
Smoking cessation,GCST007460,30643251,12197133,1115491,1046688,30,0.017012018464336115,0.004242086086691215
Age of smoking initiation,GCST007458,30643251,11983806,1115660,1046333,30,0.03731307069151499,0.007529889111960138
Urinary albumin excretion,GCST006586,30220432,11709857,1115411,1039713,30,0.047446529207410736,0.009539035493242393
Ambidextrousness,GCST007593,30980028,9859367,1105911,1033160,21,0.08441681574654408,0.002987824234548246
Handedness (Left-handed vs. non-left-handed),GCST007592,30980028,15053982,1113988,1038508,30,0.05048425221505664,0.0057739262376950585
Handedness (Right-handed vs. non-right-handed),GCST007594,30980028,15053982,1113988,1038509,30,0.046114507862708355,0.00622357380367205
Household income,GCST009523,31844048,7651458,1104556,726406,30,0.07040745697572447,0.018404568537682645
Heavy menstrual bleeding,GCST009157,31649266,15315894,1117801,1041945,16,0.07948388645317907,0.0027252989270966296
Multisite chronic pain,GCST008512,31194737,9926106,1115998,1041050,30,0.07817852570481318,0.017954732866998967
Alzheimer's disease or family history of Alzheimer's disease,GCST007320,30617256,13309438,1118197,1036720,30,0.03172401022181599,4.830324698722877e-4
Glomerular filtration rate in diabetics (creatinine),GCST003373,26831199,2197001,925563,874432,6,0.0978755902958052,0.001918066466201383
Glomerular filtration rate in non diabetics (creatinine),GCST003401,26831199,2198287,926419,874438,30,0.10826472898585912,0.0037583204937738706
Major depressive disorder in trauma exposed individuals,GCST009980,31969693,7790497,1112842,859450,12,0.09488796586362491,0.00353537750404321
Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI),GCST003658,27416945,2423397,1005695,941106,14,0.08178303260469583,0.0011522527988803385
Offspring birth weight,GCST005314,29309628,8741106,1107250,1034653,30,0.09536608260490545,0.004748999591125741
Osteoarthritis of the hip or knee (hospital diagnosed),GCST005812,29559693,16396089,1109395,1041035,22,0.06563176615943192,0.0028074445649521
Trauma exposure in major depressive disorder,GCST009983,31969693,7790497,1112842,865125,15,0.08656170112670152,0.0030770513471266667
Uterine fibroids and heavy menstrual bleeding,GCST009156,31649266,15316529,1117801,1041947,13,0.11627566487194194,0.001221030356473066
Educational attainment,GA53,27225129,8146840,1109628,907965,30,0.0745293394226359,0.012293622590643791
Subjective well being,GA54,27089181,2268674,957911,901040,30,0.043095777801091445,0.013715777684399803
Depressive symptoms,GA56,27089181,6524474,1061977,852089,30,0.05086349775698186,0.008276106789307512
Insulin sensitivity index,GA64,27416945,2423410,1005702,943004,10,0.060213574052178045,0.001588612346215587
Insulin sensitivity index,GA65,27416945,2423397,1005695,941106,16,0.08868493246915299,0.0012347115876474414
Body Mass Index,GA90,26604143,2432482,1003108,940757,30,0.2209004997346549,0.003477123375995209
Birth length,GA93,25281659,2177269,928954,872610,21,0.15323393366414545,0.004106818860698759
Body Mass Index,GA149,26426971,2407668,981226,924581,30,0.12161115732322453,0.005215065618882485
Body Mass Index,GA150,26426971,2407629,981225,924620,30,0.15238937703045008,0.0034263912125048934
Waist-hip ratio,GA151,26426971,2366560,968590,913459,23,0.07665926727960838,0.0031816488724622162
Waist-hip ratio,GA152,26426971,2366524,968590,913069,15,0.06316200599311307,0.0016411615862115762
Hip circumference,GA165,25673412,2457882,1000898,940846,30,0.0714688359906912,0.0014107001707545654
Intelligence,GA209,28530673,12104294,1114359,1043145,30,0.20318285929302082,0.0125113342858614
Alcohol intake,GA1213,27911795,2462742,1007013,944608,26,0.06063072147752334,0.005097275241388101
Alcohol intake,GA1214,27911795,2453474,1005305,944499,25,0.11653608884960004,0.004969336036426851
Alcohol intake,GA1215,27911795,2458827,1006462,944216,11,0.041059675324957495,0.0028625546796350308
Alcohol intake,GA1216,27911795,2479615,1010243,895695,3,0.0030407259391176476,3.566629672867908e-4
Alcohol intake,GA1217,27911795,2457015,1006996,945367,4,0.03374983822225421,0.001667854985174242
Alcohol intake,GA1218,27911795,2477318,1009901,895353,6,0.016294168074759897,6.84315467102931e-4
Height,GA3187,31427789,10599054,1075357,1003950,30,0.7064848225326015,0.041836689355729435
Pulse rate,GA3188,31427789,10534620,1075357,1003959,30,0.1377978775468341,0.009364945790467746
Number of self-reported cancers,GA3189,31427789,10599054,1075357,1003947,26,0.008816535957781532,0.0014995422350694296
Number of self-reported non-cancer illnesses,GA3190,31427789,10599054,1075357,1003940,30,0.07661011247084135,0.01855420740457686
Number of treatments/medications taken,GA3191,31427789,10599054,1075357,1003942,30,0.08152983462153152,0.01785595873644555
Length of time at current address,GA3192,31427789,10599054,1075357,1003934,30,0.034145954563761974,0.010896977775821087
Number in household,GA3193,31427789,10599054,1075357,1003929,22,0.010034629868179587,0.005232059837122672
Number of vehicles in household,GA3194,31427789,10599054,1075357,1003948,30,0.024655568032423504,0.009085107632063986
Household income,GA3195,31427789,10456754,1075357,1003955,30,0.085389323465625,0.020847512508713733
Time employed in main current job,GA3196,31427789,10005931,1075357,1003954,23,0.014083882598230705,0.004184839799553129
Length of working week for main job,GA3197,31427789,10047586,1075357,1003944,29,0.02306402757616058,0.005645660837595243
Frequency of travelling from home to job workplace,GA3198,31427789,10042459,1075357,1003963,29,0.02199489220634541,0.005887751544692343
Distance between home and job workplace,GA3199,31427789,9898434,1075356,1003926,12,0.007937752916259713,3.751296408345026e-4
Job involves mainly walking or standing,GA3200,31427789,10058173,1075357,1003945,30,0.07448005550514386,0.013569724941889964
Job involves heavy manual or physical work,GA3201,31427789,10058173,1075357,1003947,30,0.07712493647754456,0.013316406314051779
Job involves shift work,GA3202,31427789,10058173,1075357,1003944,30,0.037060568524969084,0.009810521298713026
Age completed full time education,GA3203,31427789,10191033,1075357,1003950,30,0.06395948497613595,0.01498024296395039
Number of days/week walked 10+ minutes,GA3204,31427789,10589580,1075357,1003950,30,0.044020395820040414,0.013047818409517256
Duration of walks,GA3205,31427789,10456754,1075357,1003953,30,0.037061464874667494,0.012030742315899325
Number of days/week of moderate physical activity,GA3206,31427789,10552592,1075357,1003948,30,0.04027791845600799,0.011965141653846677
Duration of moderate activity,GA3207,31427789,10314367,1075357,1003947,30,0.03150858987450535,0.00838402117238956
Number of days/week of vigorous physical activity,GA3208,31427789,10552592,1075357,1003950,30,0.03729462474335448,0.011760657812387453
Duration of vigorous activity,GA3209,31427789,10016340,1075357,1003957,28,0.021331855388110277,0.005378857251026532
Usual walking pace,GA3210,31427789,10599054,1075357,1003948,30,0.07756021372795119,0.019553964442360357
Frequency of stair climbing in last 4 weeks,GA3211,31427789,10589580,1075357,1003946,30,0.03554119373555502,0.011786495557297978
Frequency of walking for pleasure in last 4 weeks,GA3212,31427789,10270424,1075357,1003952,30,0.03487208729306977,0.00960909439885154
Duration walking for pleasure,GA3213,31427789,10270424,1075357,1003945,30,0.02600286380088046,0.008160207079660984
Frequency of light DIY in last 4 weeks,GA3214,31427789,9929781,1075357,1003970,29,0.022496195124872078,0.005132927788068422
Duration of light DIY,GA3215,31427789,9925000,1075357,1003971,30,0.03532659415963266,0.006744059627632131
Frequency of friend/family visits,GA3216,31427789,10599054,1075357,1003947,30,0.0375068478042761,0.012269851262027447
Time spend outdoors in summer,GA3217,31427789,10507613,1075357,1003944,30,0.0881047787494584,0.019709100133836012
Time spent outdoors in winter,GA3218,31427789,10367817,1075357,1003940,30,0.06160765479172378,0.01608864009528633
Time spent watching television,GA3219,31427789,10545103,1075357,1003959,30,0.12850062098237053,0.027240645455961256
Time spent using computer,GA3220,31427789,10360012,1075357,1003959,30,0.08503256774316303,0.022665411130084794
Time spent driving,GA3221,31427789,10209304,1075357,1003955,30,0.03606729557476607,0.009801300958005743
Automobile driving speed,GA3222,31427789,10507613,1075357,1003944,30,0.06116837400387143,0.014855894411183268
Length of mobile phone use,GA3223,31427789,10589580,1075357,1003943,30,0.05584076227358982,0.015010755098250873
Weekly usage of mobile phone in last 3 months,GA3224,31427789,10431635,1075357,1003950,30,0.049662381318534815,0.013408393688616616
Hands-free device/speakerphone use with mobile phone in last 3 month,GA3225,31427789,10431635,1075357,1003950,30,0.02635931620062231,0.008034010341515817
Difference in mobile phone use compared to two years previously,GA3226,31427789,10415538,1075357,1003951,24,0.012941291202799847,0.0048117370329392155
Usual side of head for mobile phone use,GA3227,31427789,10431635,1075357,1003940,30,0.024473213465979707,0.008192123757767223
Getting up in morning,GA3229,31427789,10599054,1075357,1003945,30,0.07777203949366704,0.017140438077254024
Chronotype,GA3230,31427789,10490463,1075357,1003938,30,0.12046913779752988,0.018655460943788987
Nap,GA3231,31427789,10599054,1075357,1003940,30,0.08297636681247905,0.015928646270894162
Insomnia,GA3232,31427789,10599054,1075357,1003949,30,0.061015915892929956,0.015439626889380728
Narcolepsy,GA3234,31427789,10599054,1075357,1003938,30,0.047822631271106274,0.01206144133849419
Current tobacco smoking,GA3235,31427789,10599054,1075357,1003946,30,0.04246483844796977,0.012262732592834964
Past tobacco smoking,GA3236,31427789,10525843,1075357,1003952,30,0.09613266337423748,0.0191188718646281
Smoking/smokers in household,GA3237,31427789,10525843,1075357,1003962,23,0.010897710924374053,0.004565421262143024
Exposure to tobacco smoke outside home,GA3239,31427789,10440064,1075357,1003961,26,0.011909991388635792,0.005120891053246024
Cooked vegetable intake,GA3240,31427789,10570778,1075357,1003956,30,0.046615751418075266,0.015835342364519618
Salad / raw vegetable intake,GA3241,31427789,10543361,1075357,1003954,30,0.11431973498068095,0.039356327848311626
Fresh fruit intake,GA3242,31427789,10570778,1075357,1003955,30,0.08265650318095058,0.021238094866407008
Dried fruit intake,GA3243,31427789,10515459,1075357,1003940,30,0.05066836678003307,0.017707166567631556
Oily fish intake,GA3244,31427789,10599054,1075357,1003940,30,0.07778197903610605,0.018802782563971727
Non-oily fish intake,GA3245,31427789,10599054,1075357,1003947,30,0.03209328658024094,0.010126509934269192
Processed meat intake,GA3246,31427789,10599054,1075357,1003948,30,0.0940099608848361,0.030770226017035225
Poultry intake,GA3247,31427789,10599054,1075357,1003945,30,0.03707295136949838,0.01272819106094028
Beef intake,GA3248,31427789,10599054,1075357,1003943,30,0.04637577156032158,0.015350674458203109
Lamb/mutton intake,GA3249,31427789,10599054,1075357,1003944,30,0.051040922161575394,0.014781489965714784
Pork intake,GA3250,31427789,10599054,1075357,1003947,30,0.058944829646346036,0.021728583365443255
Cheese intake,GA3251,31427789,10579925,1075357,1003941,30,0.12724087534935427,0.037443108100789095
Bread intake,GA3252,31427789,10579925,1075357,1003946,30,0.049010408291094446,0.013696980345160807
Cereal intake,GA3253,31427789,10559922,1075357,1003948,30,0.07022839886677454,0.018230031921757615
Salt added to food,GA3254,31427789,10599054,1075357,1003941,30,0.0897974965035486,0.017795571809587445
Tea intake,GA3255,31427789,10570778,1075357,1003948,30,0.07010958159123093,0.015457578513653798
Coffee intake,GA3256,31427789,10525843,1075357,1003946,30,0.04915417425895875,0.006984200671482332
Hot drink temperature,GA3257,31427789,10589580,1075357,1003960,30,0.0803651341000398,0.01821418073452799
Water intake,GA3258,31427789,10525843,1075357,1003946,30,0.0807801825390127,0.02027377602922871
Major dietary changes in the last 5 years,GA3259,31427789,10599054,1075357,1003563,30,0.041029371969067877,0.011656994868008069
Variation in diet,GA3260,31427789,10599054,1075357,1003947,30,0.04135462687398535,0.012643757783974245
Alcohol intake frequency,GA3261,31427789,10599054,1075357,1003949,30,0.10292015084924279,0.02336129567547432
Red wine intake,GA3262,31427789,10263295,1075357,1003959,30,0.027838543835561117,0.007284444112667467
Champagne/white wine intake,GA3263,31427789,10263295,1075357,1003954,30,0.024088932336661602,0.006227036163398857
Beer/cider intake,GA3264,31427789,10265452,1075357,1003960,30,0.08568067808311973,0.01988831282894455
Spirits intake,GA3265,31427789,10263295,1075357,1003955,27,0.01780529839752957,0.0055810228177714935
Fortifield wine intake,GA3266,31427789,10264107,1075357,1003967,6,6.129323755450073e-4,0.0012059313700066364
Alcohol usually taken with meals,GA3267,31427789,9957282,1075357,1008964,30,0.13520525304806802,0.020476140341388036
Alcohol intake versus 10 years previously,GA3268,31427789,10525843,1075357,1003947,30,0.03105299379379954,0.009304404124860216
Breastfed as a baby,GA3269,31427789,10336466,1075357,1006310,30,0.0334380514283775,0.008245195101317371
Comparative body size,GA3270,31427789,10589580,1075357,1003955,30,0.14114735737613548,0.013973392269870743
Comparative height size,GA3271,31427789,10589580,1075357,1003946,30,0.2799811659246075,0.016322425834643814
Handedness,GA3272,31427789,10599054,1075357,1003942,28,0.01158232432451077,0.00487565701685218
Skin colour,GA3273,31427789,10589580,1075357,1003938,30,0.17746033863289018,0.002906701974828539
Ease of skin tanning,GA3274,31427789,10579925,1075357,1003946,30,0.4188180395918254,0.023887438848335836
Childhood sunburn occasions,GA3275,31427789,10321705,1075357,1003768,30,0.023719151849302657,8.674184838126083e-4
Facial ageing,GA3276,31427789,10516531,1075357,1003952,30,0.08400218921098745,0.014028309836300958
Maternal smoking around birth,GA3277,31427789,10456754,1075357,1004204,30,0.06797932732395248,0.01725771652978126
Father still alive,GA3278,31427789,10575403,1075357,1010447,28,0.025909723134146564,0.008232722656411989
Father's age at death,GA3279,31427789,10299330,1075357,1003955,30,0.023436150881281925,0.006360551325702993
Mother still alive,GA3280,31427789,10589580,1075357,1010436,28,0.01844024064036297,0.006249481104339996
Mother's age,GA3281,31427789,9718062,1075356,1003955,30,0.051721967369316085,0.008708614755403611
Number of full brothers,GA3282,31427789,10589580,1075357,1003942,30,0.11417939671774771,0.04932015235455561
Number of full sisters,GA3283,31427789,10589580,1075357,1003952,30,0.11096976077059059,0.04723811168902793
Mood swings,GA3284,31427789,10579925,1075357,1004746,30,0.06473988124551142,0.0159519668166219
Miserableness,GA3285,31427789,10589580,1075357,1005434,30,0.058534289941917006,0.014690709748078653
Irritability,GA3286,31427789,10561682,1075357,1004176,30,0.08333409882640566,0.017205511308165056
Sensitivity,GA3287,31427789,10570778,1075357,1005444,30,0.06432069919606095,0.0156716131651398
Fed-up,GA3288,31427789,10579925,1075357,1004979,30,0.06668321995884227,0.0166095877729339
Nervous,GA3289,31427789,10579925,1075357,1003796,30,0.08737272283202027,0.015314826908859679
Anxious,GA3290,31427789,10579925,1075357,1004871,30,0.07927987359574722,0.018189385182476203
Tense,GA3291,31427789,10570778,1075357,1003722,30,0.10028338046030369,0.01581656382052478
Worry too long after embarrassment,GA3292,31427789,10561682,1075357,1004520,30,0.06295746158489683,0.015685773578689007
Suffer from nerves,GA3293,31427789,10564477,1075357,1003576,30,0.06086992574701367,0.011743521097368034
Loneliness,GA3294,31427789,10589580,1075357,1004670,30,0.061013388605323536,0.012831274774046931
Guilty feelings,GA3295,31427789,10579925,1075357,1004637,30,0.061185664940538134,0.013985282340813695
Risk taking,GA3296,31427789,10570778,1075357,1005609,30,0.08316506814438634,0.018596245388486275
Frequency of depressed mood in last 2 weeks,GA3297,31427789,10561682,1075357,1003944,30,0.039317890289458694,0.012189370346794157
Frequency of unenthusiasm / disinterest in last 2 weeks,GA3298,31427789,10570778,1075357,1003946,30,0.038453704275589126,0.013287362892699469
Frequency of tenseness / restlessness in last 2 weeks,GA3299,31427789,10561682,1075357,1003944,30,0.04378411293095317,0.012709185971628663
Frequency of tiredness / lethargy in last 2 weeks,GA3300,31427789,10570778,1075357,1003949,30,0.054841229377831965,0.014795752909395308
"Seen doctor (GP) for nerves, anxiety, tension or depression",GA3301,31427789,10599054,1075357,1005229,30,0.06416903029544602,0.015002105498390293
"Seen a psychiatrist for nerves, anxiety, tension or depression",GA3302,31427789,10599053,1075357,1003843,30,0.07469731584904521,0.010495646064675911
Able to confide,GA3303,31427789,10570778,1075357,1003948,30,0.041054392662142634,0.01309530580016037
Age first had sexual intercourse,GA3304,31427789,10480861,1075357,1003948,30,0.12283375612990358,0.022861218524664682
Number of sexual partners,GA3305,31427789,10407572,1075357,1002847,20,0.019122520217760963,0.0013146688489721029
Ever had same-sex intercourse,GA3306,31427789,10502857,1075357,1005148,26,0.09584345269220014,0.005587141161403908
Health rating,GA3307,31427789,10599054,1075357,1003950,30,0.09016182655058308,0.020873511972005168
"Long-standing illness, disability or infirmity",GA3308,31427789,10579925,1075357,1005365,30,0.05651796620087353,0.013745232409256385
Wears glasses or contact lenses,GA3309,31427789,10599054,1075357,1009272,16,0.030102992533453797,0.005083778224809161
Age started wearing glasses or contact lenses,GA3310,31427789,10456754,1075357,1003955,30,0.11518893115029812,0.015401495372514638
Other eye problems,GA3311,31427789,10599054,1075357,1003772,27,0.024747615309174024,0.0060055862268791485
Electronic device use - Plays computer games,GA3312,31427789,10599054,1075357,1003949,30,0.0777413331390775,0.019902704990781582
Hearing difficulty/problems,GA3313,31427789,10561682,1075357,1005394,30,0.05327606574379341,0.00883896012668341
Hearing difficulty/problems with background noise,GA3314,31427789,10579925,1075357,1004952,30,0.05774676413870118,0.014312666670226999
Use of sun/uv protection,GA3315,31427789,10599054,1075357,1003941,30,0.06424352762578449,0.008642175602142265
Frequency of solarium/sunlamp use,GA3316,31427789,10599054,1075357,1003922,14,0.006260948975150854,0.002076420930699768
Falls in the last year,GA3317,31427789,10599054,1075357,1003946,30,0.028011767040054217,0.009887711973071842
Weight change,GA3318,31427789,10589580,1075357,1003950,21,0.01108770791891402,0.005200813406609245
Wheeze/whistling,GA3319,31427789,10579925,1075357,1004357,30,0.08465234549449636,0.011722218435188928
Chest pain or discomfort,GA3320,31427789,10589580,1075357,1003801,30,0.05590630272229025,0.010557060147969099
Ever had bowel cancer screening,GA3321,31427789,10589580,1075357,1009541,24,0.012371342708035183,0.004633332577566505
Most recent bowel cancer screening,GA3322,31427789,9516104,1075356,1003949,6,0.006626387928625273,6.704424944314032e-4
Ever had prostate specific antigen (PSA) test,GA3323,31427789,9811940,1075356,1009093,29,0.03557212571467063,0.00562928131958347
Relative age of first facial hair,GA3324,31427789,9827540,1075356,1003964,30,0.14204924702338895,0.007949317903470667
Relative age voice broke,GA3325,31427789,9789419,1075356,1003957,30,0.06895443066180387,0.005426846346962786
Number of children fathered,GA3326,31427789,9851898,1075356,1003952,30,0.05902833052633798,0.011086356303336046
Had major operations,GA3327,31427789,9851898,1075356,1004331,29,0.030962414822110092,0.006275373128469245
Diabetes,GA3328,31427789,10598160,1075357,1004345,30,0.2635932270273227,0.0052936462558059935
Cancer,GA3329,31427789,10599026,1075357,1004255,30,0.030391293075330998,0.001874044190897786
Fractured/broken bones in last 5 years,GA3330,31427789,10599054,1075357,1003219,30,0.04899558612436922,0.003477225887950247
Other serious medical condition/disability (diagnosed by doctor),GA3331,31427789,10581460,1075357,1003960,30,0.03862807898104627,0.009107359726181815
Taking other prescription medications,GA3332,31427789,10599054,1075357,1006241,30,0.045567718544957045,0.012029599747428475
Frequency of heavy DIY in last 4 weeks,GA3333,31427789,9728048,1075356,1003957,15,0.02012973185345229,0.004268273812354943
Duration of heavy DIY,GA3334,31427789,9729449,1075356,1003964,30,0.03338079516373835,0.006661714865160593
Light smokers,GA3335,31427789,9426121,1075354,1004460,30,0.07139527996705756,0.005997041045281433
Ever had breast cancer screening / mammogram,GA3336,31427789,10005931,1075357,1006991,8,0.01075426446248906,0.0013364517799445185
Years since last breast cancer screening / mammogram,GA3337,31427789,9781779,1075356,1003944,6,0.004081149576942642,0.001265421894977033
Years since last cervical smear test,GA3338,31427789,9880943,1075356,1003933,30,0.036672188432810886,0.004428886435240059
Age at menarche,GA3339,31427789,9976627,1075357,1003952,30,0.26183843559362074,0.015680701008007784
Had menopause,GA3340,31427789,9847781,1075356,974991,30,0.028549530151429393,3.236743176767583e-4
Number of children ever born,GA3341,31427789,10005931,1075357,1003947,30,0.07130705080393471,0.012655269529352458
Birth weight of first child,GA3342,31427789,9796962,1075356,1003955,30,0.11696456779817502,0.008338676885418186
Age at first birth,GA3343,31427789,9656571,1075356,1003952,30,0.1723022272941131,0.018879232644138523
Age at last birth,GA3344,31427789,9656571,1075356,1003943,30,0.0838033639821704,0.01151319531027684
"Ever had stillbirth, spontaneous miscarriage or termination",GA3345,31427789,9990728,1075357,1003665,20,0.016465635783052764,0.004001964086519085
Ever taken oral contraceptive pill,GA3346,31427789,10005147,1075357,1006893,28,0.051114877632621174,0.008164639609365396
Age started oral contraceptive pill,GA3347,31427789,9793265,1075356,1003945,30,0.05096766481761092,0.009379846466147736
Age when last used oral contraceptive pill,GA3348,31427789,9707889,1075356,1003947,24,0.027937804570400824,0.005518101101103925
Ever used hormone-replacement therapy (HRT),GA3349,31427789,10000953,1075357,1009771,30,0.048927523014431255,0.007566443839504099
Bilateral oophorectomy (both ovaries removed),GA3350,31427789,9990717,1075357,1004229,27,0.07363546833507693,0.0035822499883863984
Had other major operations,GA3351,31427789,9995861,1075357,1004327,29,0.03449644325656042,0.006679875644569942
Age of smoking initiation,GA3352,31427789,9349484,1075351,1003933,27,0.03919708171515365,0.0049659159095374345
Cigarettes per day,GA3353,31427789,9313046,1075350,1003930,30,0.08758001805956861,0.003846190874312909
Age stopped smoking,GA3354,31427789,9348242,1075351,1003921,19,0.04127816596925578,0.004610947664400478
Ever stopped smoking for 6+ months,GA3355,31427789,9341256,1075351,1003641,18,0.019756150466346677,0.0017792562694562786
Number of unsuccessful stop-smoking attempts,GA3356,31427789,9285213,1075350,1003971,7,0.015472380167142695,9.072449525238444e-4
Likelihood of resuming smoking,GA3357,31427789,9336154,1075350,1003932,5,0.009622847055243005,0.0010866767513788137
Father's age,GA3358,31427789,9288158,1075350,1003967,30,0.07846522281800916,0.008157157602298112
Age high blood pressure diagnosed,GA3359,31427789,9331196,1075350,1003938,30,0.05636468433164507,0.0037547848406098636
Hearing aid user,GA3360,31427789,10117826,1075357,1005008,25,0.06958783164135138,0.0025419991350315112
Neck/shoulder pain for 3+ months,GA3361,31427789,9291251,1075350,1004357,8,0.023182782211130275,0.0021398120292235217
Mother's age at death,GA3362,31427789,10085556,1075357,1003930,16,0.014242239112316684,0.004016246126511511
Age started hormone-replacement therapy (HRT),GA3363,31427789,9175841,1075344,1003940,30,0.06430272617926575,0.0032524554108318195
Age last used hormone-replacement therapy (HRT),GA3364,31427789,9063334,1075325,1003956,14,0.03356627415858905,0.0024880078650377684
Back pain for 3+ months,GA3365,31427789,9368575,1075352,1003984,20,0.03136776637931598,0.0036060227938153827
Age at menopause,GA3366,31427789,9518547,1075356,1003952,30,0.11422510603973793,0.002349504860521251
Ever had hysterectomy (womb removed) (female),GA3367,31427789,9893996,1075356,1006028,25,0.08359000718563857,0.0046188049073743595
Chest pain or discomfort walking normally,GA3368,31427789,9060653,1075324,1005997,21,0.09569946414392579,0.004324089387717071
Frequency of other exercises in last 4 weeks,GA3369,31427789,9894142,1075356,1003969,26,0.022546119555730007,0.004379240122023363
Duration of other exercises,GA3370,31427789,9894142,1075356,1003968,25,0.018268825151709623,0.00511964446701993
Chest pain or discomfort when walking uphill or hurrying,GA3371,31427789,8934058,1075271,1006661,19,0.06064130732025934,0.0036217101234320547
"Age hay fever, rhinitis or eczema diagnosed",GA3372,31427789,9214595,1075345,1003929,30,0.10834998197456609,0.003298106259683578
Knee pain for 3+ months,GA3373,31427789,9243234,1075346,1003936,8,0.027684288654898755,0.0023529791681549585
Headaches for 3+ months,GA3374,31427789,9200879,1075345,1004364,28,0.06408150151262135,0.00441303804042272
Time since last prostate specific antigen (PSA) test,GA3375,31427789,8969086,1075286,1003934,4,0.008887628999209585,4.967903797543197e-4
Number of stillbirths,GA3376,31427789,9112883,1075336,1003940,10,0.017781200673428418,0.002314431843960765
Number of spontaneous miscarriages,GA3377,31427789,9110820,1075336,1003940,7,0.012071244313219081,0.0022704325532758047
Number of pregnancy terminations,GA3378,31427789,9108833,1075336,1003942,26,0.06877342112319365,0.0058377408117842
Diastolic Blood Pressure,GA3379,31427789,10534620,1075357,1003957,30,0.13806098515831608,0.016751551809873675
Systolic Blood Pressure,GA3380,31427789,10534620,1075357,1003955,30,0.15072308902906034,0.0181160100803507
Prospective memory test - Time to answer,GA3381,31427789,9580562,1075356,1003969,30,0.06470787042151277,0.008942253356823783
Prospective memory test - Duration screen displayed,GA3382,31427789,9580562,1075356,1003968,30,0.07107006283936035,0.010347639995378518
Prospective memory test - Number of attempts,GA3383,31427789,9580562,1075356,1003997,29,0.04931132783839406,0.007626220260027314
Non-accidental death in close genetic family,GA3384,31427789,9538581,1075356,1003798,13,0.018627831214954607,0.0016732721159673039
Happiness,GA3385,31427789,9580562,1075356,1003972,30,0.07111422569354983,0.009492208682982978
Work/job satisfaction,GA3386,31427789,9580258,1075356,1003961,18,0.022062309500208044,0.004005836541011222
Health satisfaction,GA3387,31427789,9580562,1075356,1003966,30,0.07575039663050569,0.009616720787373434
Family relationship satisfaction,GA3388,31427789,9575152,1075356,1003958,30,0.05894751423035445,0.007865423079183493
Friendships satisfaction,GA3389,31427789,9572440,1075356,1003953,30,0.06495367949021737,0.00832038038985624
Financial situation satisfaction,GA3390,31427789,9577829,1075356,1003965,30,0.04919721034343745,0.007150591823181269
Ever depressed for a whole week,GA3391,31427789,9567039,1075356,1004703,30,0.054231182915522536,0.006635740625225322
Longest period of depression,GA3392,31427789,9005965,1075314,1003971,6,0.006338786160671763,0.0020809417782425396
Ever unenthusiastic/disinterested for a whole week,GA3394,31427789,9548951,1075356,1004749,30,0.05306092373617183,0.006057403869174892
Ever highly irritable/argumentative for 2 days,GA3395,31427789,9564533,1075356,1004712,30,0.077687623359433855,0.006346169024131795
Other sociodemographic factors - Private healthcare,GA3396,31427789,9577829,1075356,1003959,26,0.029865962683973492,0.0050556825577086715
Shortness of breath walking on level ground,GA3397,31427789,9569781,1075356,1004660,30,0.12114210239212075,0.0069727843373969985
Leg pain on walking,GA3398,31427789,9575152,1075356,1004662,30,0.07304472362535847,0.007070435132719189
Tinnitus,GA3399,31427789,9567039,1075356,1003964,30,0.058609732453872423,0.0071489447940786925
Noisy workplace,GA3400,31427789,9575152,1075356,1003964,30,0.051713596145592663,0.007641306264180962
Loud music exposure frequency,GA3401,31427789,9572429,1075356,1003954,26,0.02985490225211735,0.004993150069057744
Fluid intelligence test - FI7 : synonym,GA3405,31427789,9311462,1075350,1003530,28,0.13350327395165468,0.006088570653440676
Number of older siblings,GA3407,31427789,9465132,1075356,1003965,23,0.05461703296055819,0.0079674763273632
Educational attainment,GA3409,31427789,10415538,1075357,1003945,30,0.17748967950699526,0.03709722580708829
Interpolated Year when non-cancer illness first diagnosed,GA3410,31427789,10277566,1075357,1003959,30,0.022978995656484976,0.0038399390832176174
Interpolated Age of participant when non-cancer illness first diagnosed,GA3411,31427789,10277566,1075357,1003960,30,0.022946830522664725,0.003803486918139254
Sitting height,GA3412,31427789,10599054,1075357,1003952,30,0.42344146194228716,0.025473496852452607
