GWAS_trait,id,GWAS_pubmedID,source,M_or,M_m,M_ldpred,k,h2_est,p_est
Regular attendance at a gym or sports club,GCST006920,29970889,gwas_catalog,7745421,1110431,1036866,30,4.27e-02,1.31e-02
Regular attendance at a pub or social club,GCST006921,29970889,gwas_catalog,7745421,1110431,1036872,30,4.74e-02,1.29e-02
Regular attendance at a religious group,GCST006922,29970889,gwas_catalog,7745421,1110431,1036869,30,1.04e-01,1.60e-02
Urinary sodium excretion,GCST008647,31409800,gwas_catalog,8776507,1116707,1042048,30,7.31e-02,1.77e-02
Left planum temporale grey matter volume,GCST009460,31887566,gwas_catalog,15120452,1117353,1041393,28,2.51e-01,4.53e-03
Planum temporale asymmetry index,GCST009459,31887566,gwas_catalog,15120452,1117353,1041398,7,6.81e-02,1.23e-03
Right planum temporale grey matter volume,GCST009458,31887566,gwas_catalog,15120452,1117353,1041396,28,2.38e-01,4.10e-03
Trauma exposure,GCST009982,31969693,gwas_catalog,7790497,1112842,881720,30,1.12e-01,9.35e-03
Trauma exposure in major depressive disorder-negative individuals,GCST009984,31969693,gwas_catalog,7790497,1112842,958030,20,9.88e-02,4.02e-03
Urate levels,GCST008972,31578528,gwas_catalog,38962994,1118416,982201,30,1.68e-01,6.26e-03
Urinary albumin-to-creatinine ratio,GCST009640,31630189,gwas_catalog,12079899,1115624,1042455,30,5.52e-02,1.15e-02
Lung function (FVC),GCST007429,30804560,gwas_catalog,19815284,1115993,1043006,30,1.54e-01,1.57e-02
Vitamin D levels,GCST005367,29343764,gwas_catalog,2514512,1066213,966863,30,9.75e-02,1.47e-03
Life satisfaction,GCST007337,30643256,gwas_catalog,4982474,915200,838724,30,3.36e-01,1.17e-02
Positive affect,GCST007338,30643256,gwas_catalog,4982474,915200,854557,30,9.03e-02,1.89e-02
White matter hyperintensity volume,GCST007305,30659137,gwas_catalog,7332218,1100693,1030296,19,2.06e-01,2.23e-03
White matter integrity (fractional anisotropy),GCST010102,32358547,gwas_catalog,9735097,1109852,1036458,11,1.15e-01,1.71e-02
White matter integrity (mean diffusivity),GCST010103,32358547,gwas_catalog,9735314,1109836,1036432,26,1.59e-01,2.00e-02
Feeling worry,GCST006950,29500382,gwas_catalog,10846943,1075357,1003655,30,7.36e-02,1.66e-02
Worry,GCST006478,29942085,gwas_catalog,10847150,1075372,1003988,30,9.14e-02,1.82e-02
Worry too long after an embarrassing experience,GCST006946,29500382,gwas_catalog,10846943,1075357,1003655,30,6.22e-02,1.53e-02
Worry/vulnerability (special factor of neuroticism),GCST007708,30867560,gwas_catalog,18485882,1115610,724866,30,4.63e-02,1.27e-02
Extraversion,GCST003120,26362575,gwas_catalog,6941603,1079713,1009844,20,5.15e-02,5.49e-03
Intelligence,GCST006250,29942086,gwas_catalog,9295118,1109972,1033998,30,2.12e-01,2.80e-02
Intelligence (childhood),GCST001837,23358156,gwas_catalog,1380158,760999,720130,27,2.26e-01,5.17e-03
General risk tolerance,GCST007322,30643258,gwas_catalog,11514381,1115155,1041767,30,2.54e-02,1.43e-02
Risk-taking tendency (4-domain principal component model),GCST007323,30643258,gwas_catalog,11514862,1115155,1039844,30,1.13e-01,1.71e-02
Smoking status (ever vs never smokers),GCST007327,30643258,gwas_catalog,11514654,1115159,1036617,30,9.17e-02,2.01e-02
Smoking cessation,GCST007460,30643251,gwas_catalog,12197133,1115491,1046688,30,1.70e-02,4.24e-03
Age of smoking initiation,GCST007458,30643251,gwas_catalog,11983806,1115660,1046333,30,3.73e-02,7.53e-03
Urinary albumin excretion,GCST006586,30220432,gwas_catalog,11709857,1115411,1039713,30,4.74e-02,9.54e-03
Ambidextrousness,GCST007593,30980028,gwas_catalog,9859367,1105911,1033160,21,8.44e-02,2.99e-03
Handedness (Left-handed vs. non-left-handed),GCST007592,30980028,gwas_catalog,15053982,1113988,1038508,30,5.05e-02,5.77e-03
Handedness (Right-handed vs. non-right-handed),GCST007594,30980028,gwas_catalog,15053982,1113988,1038509,30,4.61e-02,6.22e-03
Household income,GCST009523,31844048,gwas_catalog,7651458,1104556,726406,30,7.04e-02,1.84e-02
Heavy menstrual bleeding,GCST009157,31649266,gwas_catalog,15315894,1117801,1041945,16,7.95e-02,2.73e-03
Multisite chronic pain,GCST008512,31194737,gwas_catalog,9926106,1115998,1041050,30,7.82e-02,1.80e-02
Alzheimer's disease or family history of Alzheimer's disease,GCST007320,30617256,gwas_catalog,13309438,1118197,1036720,30,3.17e-02,4.83e-04
Glomerular filtration rate in diabetics (creatinine),GCST003373,26831199,gwas_catalog,2197001,925563,874432,6,9.79e-02,1.92e-03
Glomerular filtration rate in non diabetics (creatinine),GCST003401,26831199,gwas_catalog,2198287,926419,874438,30,1.08e-01,3.76e-03
Major depressive disorder in trauma exposed individuals,GCST009980,31969693,gwas_catalog,7790497,1112842,859450,12,9.49e-02,3.54e-03
Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI),GCST003658,27416945,gwas_catalog,2423397,1005695,941106,14,8.18e-02,1.15e-03
Offspring birth weight,GCST005314,29309628,gwas_catalog,8741106,1107250,1034653,30,9.54e-02,4.75e-03
Osteoarthritis of the hip or knee (hospital diagnosed),GCST005812,29559693,gwas_catalog,16396089,1109395,1041035,22,6.56e-02,2.81e-03
Trauma exposure in major depressive disorder,GCST009983,31969693,gwas_catalog,7790497,1112842,865125,15,8.66e-02,3.08e-03
Uterine fibroids and heavy menstrual bleeding,GCST009156,31649266,gwas_catalog,15316529,1117801,1041947,13,1.16e-01,1.22e-03
Educational attainment,GA53,27225129,GWASAtlas,8146840,1109628,907965,30,7.45e-02,1.23e-02
Subjective well being,GA54,27089181,GWASAtlas,2268674,957911,901040,30,4.31e-02,1.37e-02
Depressive symptoms,GA56,27089181,GWASAtlas,6524474,1061977,852089,30,5.09e-02,8.28e-03
Insulin sensitivity index,GA64,27416945,GWASAtlas,2423410,1005702,943004,10,6.02e-02,1.59e-03
Insulin sensitivity index,GA65,27416945,GWASAtlas,2423397,1005695,941106,16,8.87e-02,1.23e-03
Body Mass Index,GA90,26604143,GWASAtlas,2432482,1003108,940757,30,2.21e-01,3.48e-03
Birth length,GA93,25281659,GWASAtlas,2177269,928954,872610,21,1.53e-01,4.11e-03
Body Mass Index,GA149,26426971,GWASAtlas,2407668,981226,924581,30,1.22e-01,5.22e-03
Body Mass Index,GA150,26426971,GWASAtlas,2407629,981225,924620,30,1.52e-01,3.43e-03
Waist-hip ratio,GA151,26426971,GWASAtlas,2366560,968590,913459,23,7.67e-02,3.18e-03
Waist-hip ratio,GA152,26426971,GWASAtlas,2366524,968590,913069,15,6.32e-02,1.64e-03
Hip circumference,GA165,25673412,GWASAtlas,2457882,1000898,940846,30,7.15e-02,1.41e-03
Intelligence,GA209,28530673,GWASAtlas,12104294,1114359,1043145,30,2.03e-01,1.25e-02
Alcohol intake,GA1213,27911795,GWASAtlas,2462742,1007013,944608,26,6.06e-02,5.10e-03
Alcohol intake,GA1214,27911795,GWASAtlas,2453474,1005305,944499,25,1.17e-01,4.97e-03
Alcohol intake,GA1215,27911795,GWASAtlas,2458827,1006462,944216,11,4.11e-02,2.86e-03
Alcohol intake,GA1216,27911795,GWASAtlas,2479615,1010243,895695,3,3.04e-03,3.57e-04
Alcohol intake,GA1217,27911795,GWASAtlas,2457015,1006996,945367,4,3.37e-02,1.67e-03
Alcohol intake,GA1218,27911795,GWASAtlas,2477318,1009901,895353,6,1.63e-02,6.84e-04
Height,GA3187,31427789,GWASAtlas,10599054,1075357,1003950,30,7.06e-01,4.18e-02
Pulse rate,GA3188,31427789,GWASAtlas,10534620,1075357,1003959,30,1.38e-01,9.36e-03
Number of self-reported cancers,GA3189,31427789,GWASAtlas,10599054,1075357,1003947,26,8.82e-03,1.50e-03
Number of self-reported non-cancer illnesses,GA3190,31427789,GWASAtlas,10599054,1075357,1003940,30,7.66e-02,1.86e-02
Number of treatments/medications taken,GA3191,31427789,GWASAtlas,10599054,1075357,1003942,30,8.15e-02,1.79e-02
Length of time at current address,GA3192,31427789,GWASAtlas,10599054,1075357,1003934,30,3.41e-02,1.09e-02
Number in household,GA3193,31427789,GWASAtlas,10599054,1075357,1003929,22,1.00e-02,5.23e-03
Number of vehicles in household,GA3194,31427789,GWASAtlas,10599054,1075357,1003948,30,2.47e-02,9.09e-03
Household income,GA3195,31427789,GWASAtlas,10456754,1075357,1003955,30,8.54e-02,2.08e-02
Time employed in main current job,GA3196,31427789,GWASAtlas,10005931,1075357,1003954,23,1.41e-02,4.18e-03
Length of working week for main job,GA3197,31427789,GWASAtlas,10047586,1075357,1003944,29,2.31e-02,5.65e-03
Frequency of travelling from home to job workplace,GA3198,31427789,GWASAtlas,10042459,1075357,1003963,29,2.20e-02,5.89e-03
Distance between home and job workplace,GA3199,31427789,GWASAtlas,9898434,1075356,1003926,12,7.94e-03,3.75e-04
Job involves mainly walking or standing,GA3200,31427789,GWASAtlas,10058173,1075357,1003945,30,7.45e-02,1.36e-02
Job involves heavy manual or physical work,GA3201,31427789,GWASAtlas,10058173,1075357,1003947,30,7.71e-02,1.33e-02
Job involves shift work,GA3202,31427789,GWASAtlas,10058173,1075357,1003944,30,3.71e-02,9.81e-03
Age completed full time education,GA3203,31427789,GWASAtlas,10191033,1075357,1003950,30,6.40e-02,1.50e-02
Number of days/week walked 10+ minutes,GA3204,31427789,GWASAtlas,10589580,1075357,1003950,30,4.40e-02,1.30e-02
Duration of walks,GA3205,31427789,GWASAtlas,10456754,1075357,1003953,30,3.71e-02,1.20e-02
Number of days/week of moderate physical activity,GA3206,31427789,GWASAtlas,10552592,1075357,1003948,30,4.03e-02,1.20e-02
Duration of moderate activity,GA3207,31427789,GWASAtlas,10314367,1075357,1003947,30,3.15e-02,8.38e-03
Number of days/week of vigorous physical activity,GA3208,31427789,GWASAtlas,10552592,1075357,1003950,30,3.73e-02,1.18e-02
Duration of vigorous activity,GA3209,31427789,GWASAtlas,10016340,1075357,1003957,28,2.13e-02,5.38e-03
Usual walking pace,GA3210,31427789,GWASAtlas,10599054,1075357,1003948,30,7.76e-02,1.96e-02
Frequency of stair climbing in last 4 weeks,GA3211,31427789,GWASAtlas,10589580,1075357,1003946,30,3.55e-02,1.18e-02
Frequency of walking for pleasure in last 4 weeks,GA3212,31427789,GWASAtlas,10270424,1075357,1003952,30,3.49e-02,9.61e-03
Duration walking for pleasure,GA3213,31427789,GWASAtlas,10270424,1075357,1003945,30,2.60e-02,8.16e-03
Frequency of light DIY in last 4 weeks,GA3214,31427789,GWASAtlas,9929781,1075357,1003970,29,2.25e-02,5.13e-03
Duration of light DIY,GA3215,31427789,GWASAtlas,9925000,1075357,1003971,30,3.53e-02,6.74e-03
Frequency of friend/family visits,GA3216,31427789,GWASAtlas,10599054,1075357,1003947,30,3.75e-02,1.23e-02
Time spend outdoors in summer,GA3217,31427789,GWASAtlas,10507613,1075357,1003944,30,8.81e-02,1.97e-02
Time spent outdoors in winter,GA3218,31427789,GWASAtlas,10367817,1075357,1003940,30,6.16e-02,1.61e-02
Time spent watching television,GA3219,31427789,GWASAtlas,10545103,1075357,1003959,30,1.29e-01,2.72e-02
Time spent using computer,GA3220,31427789,GWASAtlas,10360012,1075357,1003959,30,8.50e-02,2.27e-02
Time spent driving,GA3221,31427789,GWASAtlas,10209304,1075357,1003955,30,3.61e-02,9.80e-03
Automobile driving speed,GA3222,31427789,GWASAtlas,10507613,1075357,1003944,30,6.12e-02,1.49e-02
Length of mobile phone use,GA3223,31427789,GWASAtlas,10589580,1075357,1003943,30,5.58e-02,1.50e-02
Weekly usage of mobile phone in last 3 months,GA3224,31427789,GWASAtlas,10431635,1075357,1003950,30,4.97e-02,1.34e-02
Hands-free device/speakerphone use with mobile phone in last 3 month,GA3225,31427789,GWASAtlas,10431635,1075357,1003950,30,2.64e-02,8.03e-03
Difference in mobile phone use compared to two years previously,GA3226,31427789,GWASAtlas,10415538,1075357,1003951,24,1.29e-02,4.81e-03
Usual side of head for mobile phone use,GA3227,31427789,GWASAtlas,10431635,1075357,1003940,30,2.45e-02,8.19e-03
Getting up in morning,GA3229,31427789,GWASAtlas,10599054,1075357,1003945,30,7.78e-02,1.71e-02
Chronotype,GA3230,31427789,GWASAtlas,10490463,1075357,1003938,30,1.20e-01,1.87e-02
Nap,GA3231,31427789,GWASAtlas,10599054,1075357,1003940,30,8.30e-02,1.59e-02
Insomnia,GA3232,31427789,GWASAtlas,10599054,1075357,1003949,30,6.10e-02,1.54e-02
Narcolepsy,GA3234,31427789,GWASAtlas,10599054,1075357,1003938,30,4.78e-02,1.21e-02
Current tobacco smoking,GA3235,31427789,GWASAtlas,10599054,1075357,1003946,30,4.25e-02,1.23e-02
Past tobacco smoking,GA3236,31427789,GWASAtlas,10525843,1075357,1003952,30,9.61e-02,1.91e-02
Smoking/smokers in household,GA3237,31427789,GWASAtlas,10525843,1075357,1003962,23,1.09e-02,4.57e-03
Exposure to tobacco smoke outside home,GA3239,31427789,GWASAtlas,10440064,1075357,1003961,26,1.19e-02,5.12e-03
Cooked vegetable intake,GA3240,31427789,GWASAtlas,10570778,1075357,1003956,30,4.66e-02,1.58e-02
Salad / raw vegetable intake,GA3241,31427789,GWASAtlas,10543361,1075357,1003954,30,1.14e-01,3.94e-02
Fresh fruit intake,GA3242,31427789,GWASAtlas,10570778,1075357,1003955,30,8.27e-02,2.12e-02
Dried fruit intake,GA3243,31427789,GWASAtlas,10515459,1075357,1003940,30,5.07e-02,1.77e-02
Oily fish intake,GA3244,31427789,GWASAtlas,10599054,1075357,1003940,30,7.78e-02,1.88e-02
Non-oily fish intake,GA3245,31427789,GWASAtlas,10599054,1075357,1003947,30,3.21e-02,1.01e-02
Processed meat intake,GA3246,31427789,GWASAtlas,10599054,1075357,1003948,30,9.40e-02,3.08e-02
Poultry intake,GA3247,31427789,GWASAtlas,10599054,1075357,1003945,30,3.71e-02,1.27e-02
Beef intake,GA3248,31427789,GWASAtlas,10599054,1075357,1003943,30,4.64e-02,1.54e-02
Lamb/mutton intake,GA3249,31427789,GWASAtlas,10599054,1075357,1003944,30,5.10e-02,1.48e-02
Pork intake,GA3250,31427789,GWASAtlas,10599054,1075357,1003947,30,5.89e-02,2.17e-02
Cheese intake,GA3251,31427789,GWASAtlas,10579925,1075357,1003941,30,1.27e-01,3.74e-02
Bread intake,GA3252,31427789,GWASAtlas,10579925,1075357,1003946,30,4.90e-02,1.37e-02
Cereal intake,GA3253,31427789,GWASAtlas,10559922,1075357,1003948,30,7.02e-02,1.82e-02
Salt added to food,GA3254,31427789,GWASAtlas,10599054,1075357,1003941,30,8.98e-02,1.78e-02
Tea intake,GA3255,31427789,GWASAtlas,10570778,1075357,1003948,30,7.01e-02,1.55e-02
Coffee intake,GA3256,31427789,GWASAtlas,10525843,1075357,1003946,30,4.92e-02,6.98e-03
Hot drink temperature,GA3257,31427789,GWASAtlas,10589580,1075357,1003960,30,8.04e-02,1.82e-02
Water intake,GA3258,31427789,GWASAtlas,10525843,1075357,1003946,30,8.08e-02,2.03e-02
Major dietary changes in the last 5 years,GA3259,31427789,GWASAtlas,10599054,1075357,1003563,30,4.10e-02,1.17e-02
Variation in diet,GA3260,31427789,GWASAtlas,10599054,1075357,1003947,30,4.14e-02,1.26e-02
Alcohol intake frequency,GA3261,31427789,GWASAtlas,10599054,1075357,1003949,30,1.03e-01,2.34e-02
Red wine intake,GA3262,31427789,GWASAtlas,10263295,1075357,1003959,30,2.78e-02,7.28e-03
Champagne/white wine intake,GA3263,31427789,GWASAtlas,10263295,1075357,1003954,30,2.41e-02,6.23e-03
Beer/cider intake,GA3264,31427789,GWASAtlas,10265452,1075357,1003960,30,8.57e-02,1.99e-02
Spirits intake,GA3265,31427789,GWASAtlas,10263295,1075357,1003955,27,1.78e-02,5.58e-03
Fortifield wine intake,GA3266,31427789,GWASAtlas,10264107,1075357,1003967,6,6.13e-04,1.21e-03
Alcohol usually taken with meals,GA3267,31427789,GWASAtlas,9957282,1075357,1008964,30,1.35e-01,2.05e-02
Alcohol intake versus 10 years previously,GA3268,31427789,GWASAtlas,10525843,1075357,1003947,30,3.11e-02,9.30e-03
Breastfed as a baby,GA3269,31427789,GWASAtlas,10336466,1075357,1006310,30,3.34e-02,8.25e-03
Comparative body size,GA3270,31427789,GWASAtlas,10589580,1075357,1003955,30,1.41e-01,1.40e-02
Comparative height size,GA3271,31427789,GWASAtlas,10589580,1075357,1003946,30,2.80e-01,1.63e-02
Handedness,GA3272,31427789,GWASAtlas,10599054,1075357,1003942,28,1.16e-02,4.88e-03
Skin colour,GA3273,31427789,GWASAtlas,10589580,1075357,1003938,30,1.77e-01,2.91e-03
Ease of skin tanning,GA3274,31427789,GWASAtlas,10579925,1075357,1003946,30,4.19e-01,2.39e-02
Childhood sunburn occasions,GA3275,31427789,GWASAtlas,10321705,1075357,1003768,30,2.37e-02,8.67e-04
Facial ageing,GA3276,31427789,GWASAtlas,10516531,1075357,1003952,30,8.40e-02,1.40e-02
Maternal smoking around birth,GA3277,31427789,GWASAtlas,10456754,1075357,1004204,30,6.80e-02,1.73e-02
Father still alive,GA3278,31427789,GWASAtlas,10575403,1075357,1010447,28,2.59e-02,8.23e-03
Father's age at death,GA3279,31427789,GWASAtlas,10299330,1075357,1003955,30,2.34e-02,6.36e-03
Mother still alive,GA3280,31427789,GWASAtlas,10589580,1075357,1010436,28,1.84e-02,6.25e-03
Mother's age,GA3281,31427789,GWASAtlas,9718062,1075356,1003955,30,5.17e-02,8.71e-03
Number of full brothers,GA3282,31427789,GWASAtlas,10589580,1075357,1003942,30,1.14e-01,4.93e-02
Number of full sisters,GA3283,31427789,GWASAtlas,10589580,1075357,1003952,30,1.11e-01,4.72e-02
Mood swings,GA3284,31427789,GWASAtlas,10579925,1075357,1004746,30,6.47e-02,1.60e-02
Miserableness,GA3285,31427789,GWASAtlas,10589580,1075357,1005434,30,5.85e-02,1.47e-02
Irritability,GA3286,31427789,GWASAtlas,10561682,1075357,1004176,30,8.33e-02,1.72e-02
Sensitivity,GA3287,31427789,GWASAtlas,10570778,1075357,1005444,30,6.43e-02,1.57e-02
Fed-up,GA3288,31427789,GWASAtlas,10579925,1075357,1004979,30,6.67e-02,1.66e-02
Nervous,GA3289,31427789,GWASAtlas,10579925,1075357,1003796,30,8.74e-02,1.53e-02
Anxious,GA3290,31427789,GWASAtlas,10579925,1075357,1004871,30,7.93e-02,1.82e-02
Tense,GA3291,31427789,GWASAtlas,10570778,1075357,1003722,30,1.00e-01,1.58e-02
Worry too long after embarrassment,GA3292,31427789,GWASAtlas,10561682,1075357,1004520,30,6.30e-02,1.57e-02
Suffer from nerves,GA3293,31427789,GWASAtlas,10564477,1075357,1003576,30,6.09e-02,1.17e-02
Loneliness,GA3294,31427789,GWASAtlas,10589580,1075357,1004670,30,6.10e-02,1.28e-02
Guilty feelings,GA3295,31427789,GWASAtlas,10579925,1075357,1004637,30,6.12e-02,1.40e-02
Risk taking,GA3296,31427789,GWASAtlas,10570778,1075357,1005609,30,8.32e-02,1.86e-02
Frequency of depressed mood in last 2 weeks,GA3297,31427789,GWASAtlas,10561682,1075357,1003944,30,3.93e-02,1.22e-02
Frequency of unenthusiasm / disinterest in last 2 weeks,GA3298,31427789,GWASAtlas,10570778,1075357,1003946,30,3.85e-02,1.33e-02
Frequency of tenseness / restlessness in last 2 weeks,GA3299,31427789,GWASAtlas,10561682,1075357,1003944,30,4.38e-02,1.27e-02
Frequency of tiredness / lethargy in last 2 weeks,GA3300,31427789,GWASAtlas,10570778,1075357,1003949,30,5.48e-02,1.48e-02
"Seen doctor (GP) for nerves, anxiety, tension or depression",GA3301,31427789,GWASAtlas,10599054,1075357,1005229,30,6.42e-02,1.50e-02
"Seen a psychiatrist for nerves, anxiety, tension or depression",GA3302,31427789,GWASAtlas,10599053,1075357,1003843,30,7.47e-02,1.05e-02
Able to confide,GA3303,31427789,GWASAtlas,10570778,1075357,1003948,30,4.11e-02,1.31e-02
Age first had sexual intercourse,GA3304,31427789,GWASAtlas,10480861,1075357,1003948,30,1.23e-01,2.29e-02
Number of sexual partners,GA3305,31427789,GWASAtlas,10407572,1075357,1002847,20,1.91e-02,1.31e-03
Ever had same-sex intercourse,GA3306,31427789,GWASAtlas,10502857,1075357,1005148,26,9.58e-02,5.59e-03
Health rating,GA3307,31427789,GWASAtlas,10599054,1075357,1003950,30,9.02e-02,2.09e-02
"Long-standing illness, disability or infirmity",GA3308,31427789,GWASAtlas,10579925,1075357,1005365,30,5.65e-02,1.37e-02
Wears glasses or contact lenses,GA3309,31427789,GWASAtlas,10599054,1075357,1009272,16,3.01e-02,5.08e-03
Age started wearing glasses or contact lenses,GA3310,31427789,GWASAtlas,10456754,1075357,1003955,30,1.15e-01,1.54e-02
Other eye problems,GA3311,31427789,GWASAtlas,10599054,1075357,1003772,27,2.47e-02,6.01e-03
Electronic device use - Plays computer games,GA3312,31427789,GWASAtlas,10599054,1075357,1003949,30,7.77e-02,1.99e-02
Hearing difficulty/problems,GA3313,31427789,GWASAtlas,10561682,1075357,1005394,30,5.33e-02,8.84e-03
Hearing difficulty/problems with background noise,GA3314,31427789,GWASAtlas,10579925,1075357,1004952,30,5.77e-02,1.43e-02
Use of sun/uv protection,GA3315,31427789,GWASAtlas,10599054,1075357,1003941,30,6.42e-02,8.64e-03
Frequency of solarium/sunlamp use,GA3316,31427789,GWASAtlas,10599054,1075357,1003922,14,6.26e-03,2.08e-03
Falls in the last year,GA3317,31427789,GWASAtlas,10599054,1075357,1003946,30,2.80e-02,9.89e-03
Weight change,GA3318,31427789,GWASAtlas,10589580,1075357,1003950,21,1.11e-02,5.20e-03
Wheeze/whistling,GA3319,31427789,GWASAtlas,10579925,1075357,1004357,30,8.47e-02,1.17e-02
Chest pain or discomfort,GA3320,31427789,GWASAtlas,10589580,1075357,1003801,30,5.59e-02,1.06e-02
Ever had bowel cancer screening,GA3321,31427789,GWASAtlas,10589580,1075357,1009541,24,1.24e-02,4.63e-03
Most recent bowel cancer screening,GA3322,31427789,GWASAtlas,9516104,1075356,1003949,6,6.63e-03,6.70e-04
Ever had prostate specific antigen (PSA) test,GA3323,31427789,GWASAtlas,9811940,1075356,1009093,29,3.56e-02,5.63e-03
Relative age of first facial hair,GA3324,31427789,GWASAtlas,9827540,1075356,1003964,30,1.42e-01,7.95e-03
Relative age voice broke,GA3325,31427789,GWASAtlas,9789419,1075356,1003957,30,6.90e-02,5.43e-03
Number of children fathered,GA3326,31427789,GWASAtlas,9851898,1075356,1003952,30,5.90e-02,1.11e-02
Had major operations,GA3327,31427789,GWASAtlas,9851898,1075356,1004331,29,3.10e-02,6.28e-03
Diabetes,GA3328,31427789,GWASAtlas,10598160,1075357,1004345,30,2.64e-01,5.29e-03
Cancer,GA3329,31427789,GWASAtlas,10599026,1075357,1004255,30,3.04e-02,1.87e-03
Fractured/broken bones in last 5 years,GA3330,31427789,GWASAtlas,10599054,1075357,1003219,30,4.90e-02,3.48e-03
Other serious medical condition/disability (diagnosed by doctor),GA3331,31427789,GWASAtlas,10581460,1075357,1003960,30,3.86e-02,9.11e-03
Taking other prescription medications,GA3332,31427789,GWASAtlas,10599054,1075357,1006241,30,4.56e-02,1.20e-02
Frequency of heavy DIY in last 4 weeks,GA3333,31427789,GWASAtlas,9728048,1075356,1003957,15,2.01e-02,4.27e-03
Duration of heavy DIY,GA3334,31427789,GWASAtlas,9729449,1075356,1003964,30,3.34e-02,6.66e-03
Light smokers,GA3335,31427789,GWASAtlas,9426121,1075354,1004460,30,7.14e-02,6.00e-03
Ever had breast cancer screening / mammogram,GA3336,31427789,GWASAtlas,10005931,1075357,1006991,8,1.08e-02,1.34e-03
Years since last breast cancer screening / mammogram,GA3337,31427789,GWASAtlas,9781779,1075356,1003944,6,4.08e-03,1.27e-03
Years since last cervical smear test,GA3338,31427789,GWASAtlas,9880943,1075356,1003933,30,3.67e-02,4.43e-03
Age at menarche,GA3339,31427789,GWASAtlas,9976627,1075357,1003952,30,2.62e-01,1.57e-02
Had menopause,GA3340,31427789,GWASAtlas,9847781,1075356,974991,30,2.85e-02,3.24e-04
Number of children ever born,GA3341,31427789,GWASAtlas,10005931,1075357,1003947,30,7.13e-02,1.27e-02
Birth weight of first child,GA3342,31427789,GWASAtlas,9796962,1075356,1003955,30,1.17e-01,8.34e-03
Age at first birth,GA3343,31427789,GWASAtlas,9656571,1075356,1003952,30,1.72e-01,1.89e-02
Age at last birth,GA3344,31427789,GWASAtlas,9656571,1075356,1003943,30,8.38e-02,1.15e-02
"Ever had stillbirth, spontaneous miscarriage or termination",GA3345,31427789,GWASAtlas,9990728,1075357,1003665,20,1.65e-02,4.00e-03
Ever taken oral contraceptive pill,GA3346,31427789,GWASAtlas,10005147,1075357,1006893,28,5.11e-02,8.16e-03
Age started oral contraceptive pill,GA3347,31427789,GWASAtlas,9793265,1075356,1003945,30,5.10e-02,9.38e-03
Age when last used oral contraceptive pill,GA3348,31427789,GWASAtlas,9707889,1075356,1003947,24,2.79e-02,5.52e-03
Ever used hormone-replacement therapy (HRT),GA3349,31427789,GWASAtlas,10000953,1075357,1009771,30,4.89e-02,7.57e-03
Bilateral oophorectomy (both ovaries removed),GA3350,31427789,GWASAtlas,9990717,1075357,1004229,27,7.36e-02,3.58e-03
Had other major operations,GA3351,31427789,GWASAtlas,9995861,1075357,1004327,29,3.45e-02,6.68e-03
Age of smoking initiation,GA3352,31427789,GWASAtlas,9349484,1075351,1003933,27,3.92e-02,4.97e-03
Cigarettes per day,GA3353,31427789,GWASAtlas,9313046,1075350,1003930,30,8.76e-02,3.85e-03
Age stopped smoking,GA3354,31427789,GWASAtlas,9348242,1075351,1003921,19,4.13e-02,4.61e-03
Ever stopped smoking for 6+ months,GA3355,31427789,GWASAtlas,9341256,1075351,1003641,18,1.98e-02,1.78e-03
Number of unsuccessful stop-smoking attempts,GA3356,31427789,GWASAtlas,9285213,1075350,1003971,7,1.55e-02,9.07e-04
Likelihood of resuming smoking,GA3357,31427789,GWASAtlas,9336154,1075350,1003932,5,9.62e-03,1.09e-03
Father's age,GA3358,31427789,GWASAtlas,9288158,1075350,1003967,30,7.85e-02,8.16e-03
Age high blood pressure diagnosed,GA3359,31427789,GWASAtlas,9331196,1075350,1003938,30,5.64e-02,3.75e-03
Hearing aid user,GA3360,31427789,GWASAtlas,10117826,1075357,1005008,25,6.96e-02,2.54e-03
Neck/shoulder pain for 3+ months,GA3361,31427789,GWASAtlas,9291251,1075350,1004357,8,2.32e-02,2.14e-03
Mother's age at death,GA3362,31427789,GWASAtlas,10085556,1075357,1003930,16,1.42e-02,4.02e-03
Age started hormone-replacement therapy (HRT),GA3363,31427789,GWASAtlas,9175841,1075344,1003940,30,6.43e-02,3.25e-03
Age last used hormone-replacement therapy (HRT),GA3364,31427789,GWASAtlas,9063334,1075325,1003956,14,3.36e-02,2.49e-03
Back pain for 3+ months,GA3365,31427789,GWASAtlas,9368575,1075352,1003984,20,3.14e-02,3.61e-03
Age at menopause,GA3366,31427789,GWASAtlas,9518547,1075356,1003952,30,1.14e-01,2.35e-03
Ever had hysterectomy (womb removed) (female),GA3367,31427789,GWASAtlas,9893996,1075356,1006028,25,8.36e-02,4.62e-03
Chest pain or discomfort walking normally,GA3368,31427789,GWASAtlas,9060653,1075324,1005997,21,9.57e-02,4.32e-03
Frequency of other exercises in last 4 weeks,GA3369,31427789,GWASAtlas,9894142,1075356,1003969,26,2.25e-02,4.38e-03
Duration of other exercises,GA3370,31427789,GWASAtlas,9894142,1075356,1003968,25,1.83e-02,5.12e-03
Chest pain or discomfort when walking uphill or hurrying,GA3371,31427789,GWASAtlas,8934058,1075271,1006661,19,6.06e-02,3.62e-03
